Soal_ID,Tingkat,Tipe,Soal,Opsi_A,Opsi_B,Opsi_C,Opsi_D,Jawaban
1,Medium,PG,"Apa output dari kode berikut ini?
def hitung(x):
    if x % 2 == 0:
        return x * 2
    else:
        return x + 1

print(hitung(3))",6,3,4,2,C
2,Medium,PG,"Manakah dari berikut ini yang menghasilkan output [3, 4, 5]?","list(range(3, 6))","list(range(3, 5))","list(range(2, 5))","list(range(4, 6))",A
3,Medium,PG,"Apa yang dikembalikan oleh fungsi berikut?
def f(a, b=2):
    return a ** b

print(f(3))",6,9,1,Error,B
4,Medium,PG,"Apa hasil dari kode ini?
a = [1, 2, 3]
b = a
b.append(4)
print(a)","[1, 2, 3]","[1, 2, 3, 4]","[4, 1, 2, 3]",Error,B
5,Medium,PG,"Apa output dari:
x = 3
y = 5
print(x > 2 and y < 10)",True,False,Error,None,A
6,Medium,PG,"Apa hasil dari:
print(bool([]))",True,False,Error,None,B
7,Medium,PG,"Apa yang dilakukan oleh kode ini?
for i in range(1, 6, 2):
    print(i, end="" "")",Menampilkan bilangan genap,Menampilkan angka 1 2 3 4 5,Menampilkan angka 1 3 5,Error,C
8,Medium,PG,"Manakah cara yang benar untuk memeriksa apakah elemen ""a"" ada dalam list berikut?
my_list = [""a"", ""b"", ""c""]"," ""a"" exists my_list "," if ""a"" in my_list: "," if my_list has ""a"" "," contains(""a"", my_list) ",B
9,Medium,PG,Apa hasil dari print(type(3.14))?,<class 'float'>,<class 'int'>,<class 'double'>,<class 'number'>,A
10,Medium,PG,Fungsi rekursif harus memiliki:,Satu parameter saja,Return None,Kondisi terminasi (base case),Fungsi tambahan,C
11,Medium,PG,Struktur data manakah yang memiliki waktu akses tercepat untuk pencarian berdasarkan key?,List,Tuple,Dictionary,Set,C
12,Medium,PG,"Apa hasil dari set([1, 2, 2, 3, 3])?","{1, 2, 3}","[1, 2, 2, 3, 3]","(1, 2, 3)",Error,A
13,Medium,PG,Fungsi type(100) akan mengembalikan?,<class 'string'>,<class 'number'>,<class 'int'>,<class 'float'>,C
14,Medium,PG,"Apa hasil dari kode berikut?
a = [1, 2]
b = a.copy()
b.append(3)
print(a)","[1, 2, 3]","[1, 2]",Error,[],B
15,Medium,PG,Fungsi map() dalam Python digunakan untuk:,A. Mengulang semua elemen dalam dict,B. Menghapus item dalam list,C. Mengubah setiap elemen dalam iterable,D. Menyalin list,C
16,Medium,PG,Apa fungsi dari perintah enumerate()?,A. Mengubah list ke dalam bentuk tuple,B. Mengembalikan indeks dan nilai elemen dalam iterasi,C. Mengurutkan list,D. Menambahkan elemen,B
17,Medium,PG,Manakah fungsi yang mengembalikan list baru yang berisi elemen yang sesuai dengan syarat tertentu?,map(),filter(),reduce(),lambda,B
18,Medium,PG,"Apa output dari:
print([i**2 for i in range(3)])","[1, 2, 3]","[0, 1, 4]","[1, 4, 9]","[0, 2, 4]",B
19,Medium,PG,"Apa output dari:print(""Python""[0])",P,y,0,Error,A
20,Medium,PG,"Jika x = None, maka bool(x) bernilai:",A. True,B. False,C. None,D. Error,B
21,Medium,PG,"Apa hasil dari set([1, 2, 2, 3, 3])?","{1, 2, 3}","[1, 2, 2, 3, 3]","(1, 2, 3)",Error,A
22,Medium,PG,Apa hasil dari bool(0)?,True,False,Error,None,B
23,Medium,PG,Fungsi map() dalam Python digunakan untuk?,Mengulang semua elemen dalam dict,Menghapus item dalam list,Mengubah setiap elemen dalam iterable,Menyalin list,C
24,Medium,PG,Apa fungsi dari perintah enumerate()?,Mengubah list ke dalam bentuk tuple,Mengembalikan indeks dan nilai elemen dalam iterasi,Mengurutkan list,Menambahkan elemen,B
25,Medium,PG,Apa output dari: print([i**2 for i in range(3)]),"[1, 2, 3]","[0, 1, 4]","[1, 4, 9]","[0, 2, 4]",B 
26,Medium,PG,Jika x = None maka bool(x) bernilai?,True,False,None,Error,B
27,Medium,PG,"Fungsi max([3, 7, 2]) akan mengembalikan?",2,3,7,Error,C
28,Medium,PG,"Fungsi berikut bertujuan untuk apa? 
def mystery(x):
    return x[::-1]",Menghapus elemen terakhir,Menyalin list,Membalik urutan list atau string,Mengalikan nilai dalam list,C
29,Medium,PG,"Apa output dari kode berikut?
def f(x=[]):
    x.append(1)
    return x

print(f())
print(f())","[1] dan [1]","[1] dan [1, 1]","[1, 1] dan [1, 1]",Error,B
30,Medium,PG,Fungsi rekursif cocok digunakan untuk permasalahan seperti?,Mencetak data dalam urutan,Loop tanpa batas,Permasalahan faktorial dan Fibonacci,Operasi aritmatika sederhana,C
31,Medium,Esai,Bagaimana cara membalik string di Python?,,,,,[::-1]
32,Medium,Esai,Apa hasil dari: print(bool([])),,,,,False
33,Medium,Esai,"Apa hasil dari:
def func(a, b):
    return a + b

print(func(""3"", ""4""))",,,,,34
34,Medium,Esai,"Berapa kali perulangan dilakukan oleh:
for i in range(2, 10, 3):
    print(i)",,,,,3
35,Medium,Esai,"Jika my_dict = {""a"": 1, ""b"": 2}, maka my_dict.get(""c"", 0) mengembalikan:",,,,,0
14,Medium,Esai,"Apa output dari kode berikut?
x = [1, 2, 3]
print(x[1:])",,,,,"[2, 3]"
36,Medium,Esai,"Apa yang akan ditampilkan oleh kode berikut?
x = [1, 2, 3]
print(sum(x) / len(x))",,,,,2.0
37,Medium,Esai,"Apa output dari:
a = {1, 2, 3}
a.add(2)
print(len(a))",,,,,3
38,Medium,Esai,"Apa output dari kode berikut?
for i in range(1, 10, 3):
    print(i, end="" "")",,,,,1 4 7
39,Medium,Esai,"Hasil dari len([10, 20, 30, 40]) adalah?",,,,,4
40,Medium,Esai,"Apa hasil dari int(""123"") + int(""77"")?",,,,,150
41,Medium,Esai," Apa output dari:
x = [1, 2, 3, 4]
print(x[2])",,,,,3
42,Medium,Esai," Hasil dari:
x = [1, 2]
x.append(3)
print(len(x))",,,,,3
43,Medium,Esai,"Output dari kode berikut:
x = [1, 3, 5]
x[1] = x[1] + x[0]
print(x[1])",,,,,4
44,Medium,Esai,"Hasil dari kode:
def hitung(x):
    return x * 2 + 1

print(hitung(4))",,,,,9
45,Medium,Esai,"Apa hasil dari:
for i in range(1, 6):
    if i % 2 == 0:
        print(i, end="" "")",,,,,2 4
46,Medium,Esai," Apa output dari kode berikut?
total = 0
for i in range(1, 4):
    total += i
print(total)",,,,,6
47,Medium,Esai,"Hasil dari:
print(len(""Python"") + len(""Code""))",,,,,10
48,Medium,Esai,"Output dari kode berikut:
data = [1, 2, 3]
print(sum(data) // len(data))",,,,,2
49,Medium,Esai,"Apa hasil dari:
a = 7
b = 2
print(a // b + a % b)",,,,,5
50,Medium,Esai,"Apa hasil dari:
def f(x):
    return x + 2

print(f(f(1)))",,,,,6
51,Hard,Esai,"Berapa output dari kode berikut?
def faktorial(n):
    if n == 0:
        return 1
    else:
        return n * faktorial(n - 1)

print(faktorial(5))",,,,,120
